,,,,
,,,,
,,,,
,,,,
,,,,
Section : Fournitures de bureau 23/24,,,,
,,,,
,,,,
Ardoises noire à craie avec cadre en plastique,88,0,20,68
Trousse,31,0,20,11
Trousse avec fourniture scolaire,0,1,1,0
Raporteur en plastique ,48,0,20,28
Equerre en plastique,22,0,20,2
Compas en plastique à crayon,71,0,20,51
Règle 20 cm en plastique,102,0,20,82
Gomme,61,0,20,41
Taille crayon plastique,57,0,20,37
Compétence Maths,0,1,1,0
Compétence phisique,0,1,1,0
Dans le domaine de l'éducation  في مجال التعليم,0,1,1,0
Dans le domaine de l'histoire في رحاب الاجتماعيات,0,1,1,0
Cahier de recherche (Bloc sténo),0,1,1,0
Outils d'ingénierie أدوات هندسية,0,1,1,0
Outils de dessin أدوات الرسم,0,Err:509,,Err:509
Papiers à dessin en carton أوراق الرسم المقوى,0,1,1,0
Boîte en papier à dessin علبة أوراق الرسم,0,1,1,0
Teinture pommade,0,1,0,0
Pinceaux petit et moyen,0,1,1,0
Porte-papier,0,1,1,0
Teinture blanche,0,1,1,0
Nouveau livre en histoire-géographie,,,,
Livre monire en Education Islamique,,,,
Livre jayide en math,,,,
Livre d'innovation dans l'activité scientifique ,,,,
,,,,
ADMA,,,,
Désignation ,Report,Entrée,Sortie,Stock
"Registre 3mains  couleur5*5 format 21*29,7 288P",,,,
Cartables,,,,
Cahiers de 200 pages GM,,,,
Cahiers de 96  pages,,,,
Campas,,,,
Crayon HB,,,,
Equerre,,,,
Rapporteurs,,,,
Régle de 20cm,,,,
Gomme,,,,
Stylos Bleu,,,,
Stylos noire,,,,
Stylos vert,,,,
Stylos rouge,,,,
Trousse,,,,
 Guide  de formateurs est spécifique au cursus École de la Deuxième Chance,,,,
Livre de l'apprenant est spécifique au cursus de l'École de la Deuxième Chance,,,,
 Guide de formateurs est spécifique au cursus d'ENF ,,,,
 Livre de l'apprenant est spécifique au cursus d'ENF ,,,,
,,,,
Matériels Artisanaux,,,,
